2009-01-01,2
2009-01-08,5
2009-01-15,3
2009-01-22,2
2009-01-29,1
2009-02-05,2
2009-02-12,3
2009-02-19,3
2009-02-26,2
2009-03-05,1
2009-03-12,1
2009-03-19,5
2009-03-26,3
2009-04-02,5
2009-04-09,3
2009-04-16,3
2009-04-23,2
2009-04-30,3
2009-05-07,4
2009-05-14,1
2009-05-21,2
2009-05-28,2
2009-06-11,1
2009-06-18,2
2009-06-25,1
2009-07-02,3
2009-07-09,3
2009-07-16,2
2009-07-23,4
2009-07-30,3
2009-08-06,3
2009-08-13,2
2009-08-20,1
2009-08-27,3
2009-09-03,1
2009-09-17,1
2009-09-24,4
2009-10-01,2
2009-10-08,3
2009-10-15,3
2009-10-22,2
2009-10-29,4
2009-11-05,1
2009-11-12,2
2009-11-19,5
2009-11-26,2
2009-12-03,3
2009-12-10,4
2009-12-17,1
2009-12-24,3
2009-12-31,2
